country_code;year;researchers_per_million;renewable_energy_share_pct;;;;;;;;;;;;;;;;;;
HRV;2006;1306,27164;25,51;;;;;;;;;;;;;;;;;;
HRV;2007;1389,21535;22,66;;;;;;;;;;;;;;;;;;
HRV;2008;1522,31497;24,14;;;;;;;;;;;;;;;;;;
HRV;2009;1579,49658;27,16;;;;;;;;;;;;;;;;;;
HRV;2010;1623,34398;29,75;;;;;;;;;;;;;;;;;;
HRV;2011;1569,97642;27,16;;;;;;;;;;;;;;;;;;
HRV;2012;1540,13694;29,4;;;;;;;;;;;;;;;;;;
HRV;2013;1511,09144;32,82;;;;;;;;;;;;;;;;;;
HRV;2014;1423,55496;33,6;;;;;;;;;;;;;;;;;;
HRV;2015;1490,76729;33,09;;;;;;;;;;;;;;;;;;
HRV;2016;1837,36663;31,83;;;;;;;;;;;;;;;;;;
HRV;2017;1856,81189;29,79;;;;;;;;;;;;;;;;;;
HRV;2018;1912,06832;32,83;;;;;;;;;;;;;;;;;;
HRV;2019;2127,93472;31,6;;;;;;;;;;;;;;;;;;
HUN;2000;1410,48985;5,17;;;;;;;;;;;;;;;;;;
HUN;2001;1439,16421;5,12;;;;;;;;;;;;;;;;;;
HUN;2002;1472,16902;5,17;;;;;;;;;;;;;;;;;;
HUN;2003;1498,29295;5,01;;;;;;;;;;;;;;;;;;
HUN;2004;1474,97267;4,63;;;;;;;;;;;;;;;;;;
HUN;2005;1574,51253;7,29;;;;;;;;;;;;;;;;;;
HUN;2006;1743,77352;7,86;;;;;;;;;;;;;;;;;;
